"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","204.620372249175","208.82281106822","226.118079146287","214.800370403034","207.615777107589","185.203957461646","172.119951485749","210.779071570063","194.887490151749","253.579113169635","281.995733369453","243.870306191117","234.886547459893","258.819846289195","233.488930742797","168.729033747136","360.853233420262","189.163403240235","161.803637089663","170.083261087029","174.697500665602","165.104908613601","182.259075719293","92.3809745824022","228.355894710039","266.475105512011","2.86831939212055","7.23519803341258","10.0261792105306","10.6347325992922","7.84744726383369","8.22808022035839","7.89989008573313","8.95204402515723","8.60573663624511","8.81095313978387","8.72675480769231","8.88309089419667","9.24344328975561","9.10518510196057","26.1948752380219","25.9340244138733","25.6711617820448","26.4204520857169","26.5172934158421","27.200707780588","26.9477259654482","27.8950228211258","26.2295526746779","25.9153220639692","24.6705288731078","24.5075162181761","13.1577223088924","8.35356100776471","8.41006417792511","8.61037367861148","8.42691090090777","","","",
"Afghanistan","AFG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.0460567126299034","0.0535888350504558","0.0737208308323819","0.0741607248298659","0.0861736143685528","0.10128491249779","0.107398880925452","0.123409531952439","0.115142497510826","0.0865098566374047","0.149651474425259","0.16520832089736","0.12999559417753","0.135366587543459","0.154503240567311","0.167612355743012","0.153557886047794","0.18152216644272","0.161894231687439","0.167066411474234","0.131782918458271","0.150614656164027","0.163103934258866","0.201224304559119","0.2319613460576","0.293956932229695","0.267771904296961","0.269229595949307","0.246823271293135","0.233882194583363","0.210643419418854","0.183363552358795","0.0961965810608727","0.0850871075160703","0.0758064942125158","0.0686398621540897","0.0624346107290676","0.0566423445298646","0.0527632181252538","0.0407225399194997","0.0372347810411313","0.0378461357038751","0.0473773238699389","0.0512555893742253","0.0370753312494308","0.0517439645638815","0.0624275315344817","0.0838928056625891","0.151720912092499","0.238398541311049","0.289987629819143","0.406424217113203","0.345148782903553","0.280454641055391","0.253727945460333","0.262555710891417","0.245101422350223","","","",
"Angola","AGO","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.100835335649402","0.0822037967470503","0.210531477092341","0.202737303453956","0.213560349319029","0.205890925853079","0.268941436867758","0.172101693676556","0.289718091111522","0.480234020430607","0.608223599046918","0.564548236096118","0.721245978268245","0.751239887196508","0.72077637996977","0.628568906605923","0.451353518485931","0.469221176481519","0.694736947493982","0.683062947974992","0.640966402195152","0.611135119645444","0.519354626128818","0.551348574103997","0.520982856139637","0.47190277210483","0.451618882781396","0.544085132259045","0.463508296402709","0.437295461971892","0.431743614699926","0.41553083007202","0.410522931864339","0.441721097947702","0.288119067989055","0.7870325472424","0.726233460982052","0.496361244979515","0.475815159521396","0.57708291408973","0.581961496322796","0.574316054293958","0.722958874715979","0.500225395509936","1.0018781174791","0.985736354999963","1.10501902714063","1.20313399963445","1.18500049364771","1.23442507446718","1.24409153765549","1.26282461903084","1.36118105470339","1.29507537348486","1.66474073594027","1.24024546214599","1.20286057885999","","","",
"Albania","ALB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","1.25819492789657","1.37418604651163","1.43995596379167","1.18168114415975","1.11174195966673","1.16609904273455","1.33305546458662","1.36374630010816","1.51955127697956","1.5589675720987","1.75323990542637","1.98949792330655","2.51591439803203","2.30389741687392","1.84900669071079","1.91063363704144","2.01358456245734","2.27587639136105","2.53062504042839","2.89820851758249","1.93505831031996","2.69302391440235","2.62485678513424","2.6832399189862","2.69429137362284","2.65801538201043","2.66535622064854","2.41406081518223","2.33159853051997","2.78324307461439","1.67810665434977","1.31221260013653","0.774724910911141","0.723790291969695","0.600203707768206","0.654537133005248","0.636625312930768","0.490365059535664","0.560271437384331","0.960164411868586","0.978174680894664","1.05330417594038","1.22954070946998","1.4126971959616","1.37621273504355","1.41249821101668","1.30257636722163","1.32233485532238","1.48431113888781","1.49560019934969","1.57857358391855","1.80371472482914","1.6979655571764","1.69727939561161","1.90006971019389","1.60264803417777","1.57716262398295","","","",
"Andorra","AND","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.46733566933901","7.18245663566904","6.91205338948512","6.73605484574634","6.4942004243981","6.66205168363352","7.06507147296457","7.23971271783233","7.66078388575348","7.97545440422557","8.01928429423459","7.78695000074249","7.59061514082999","7.31576070618458","7.35862494097896","7.29987193629782","6.74605212796168","6.51938706400271","6.42780997352794","6.12157986337213","6.12259470212791","5.8674101758869","5.91688403071809","5.90177532374279","5.83290621488897","5.96978631218674","6.07237020841688","","","",
"Arab World","ARB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.607447556753653","0.660637944607298","0.724944318536229","0.850566799900523","0.969476203601776","1.13527130042095","1.24825656387231","1.31215421955988","1.45337814673943","1.76177090003929","1.79256569581949","1.99135655842335","2.11298030391845","2.3933353451656","2.27398643462833","2.18743586305627","2.57378278992891","2.63678808592363","2.75064851125784","2.85232597488968","3.08256449599677","2.91575923290374","2.70262618808096","2.7976397121499","2.96112588310765","3.03568890377074","3.26130755838387","3.17422731252389","3.26810957851349","3.22911788398877","2.94099979343228","3.25331829737537","3.44993979387177","3.73503475192975","3.74176830061139","3.42217881761596","3.42250186237732","3.27716204429215","3.3507261290471","3.32899115619571","3.70692217696847","3.60851554547334","3.60509809463917","3.79738077075293","4.0708612666193","4.18756339676544","4.28732266309005","4.11844652333491","4.40839561616399","4.5629249201784","4.63064477024689","4.57240666761606","4.95692831352378","4.80138953504353","4.98132952730124","4.93342026702447","4.71284470207848","","","",
"United Arab Emirates","ARE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.119035252872817","0.109141235763324","0.163533063379654","0.175833133541117","0.132824781402357","0.146819968369846","0.160455318297745","5.39992107014743","6.80684126662542","101.051662678601","65.0169542116889","76.3476507454833","70.8639711880692","77.6193313128446","67.0170370798223","56.6668508720575","62.156926708908","52.74519000631","53.6373164589687","39.289187324054","36.1984916268517","33.6099588732548","31.6547862905926","28.76982137784","35.8546551661513","36.5448108719012","32.6571350544117","31.1000211276423","29.7269625202665","31.5747539666949","28.4446241369654","29.4302251809743","28.3193886085525","30.3617628692872","31.873892568161","29.2498780583746","28.9200595007889","27.5886854720551","28.9687908562946","26.4241040392659","35.9157642701389","30.7030513343703","24.3350930513798","28.7675097496398","27.8168056589908","25.2977024884351","23.3441858701243","21.9740447066368","22.1691104024875","21.2538911901575","18.5524727052248","19.1830645829219","24.0431371064746","23.9960015916659","24.5430426489621","21.0263924904727","22.0408285243639","","","",
"Argentina","ARG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","2.38334297035428","2.45855142553302","2.53844603606137","2.33068505283097","2.55344179743567","2.65646573840291","2.80689551696705","2.871099658945","2.98177731636121","3.28816119970689","3.46452723619014","3.66615941648738","3.65700815412214","3.75415427499428","3.75336660448062","3.67015070415827","3.79926198227955","3.78041549059055","3.79288096280975","4.02981026998763","3.89788833219675","3.6008100283307","3.59179341867078","3.59556404239252","3.5821484971648","3.3292256468773","3.39465765033634","3.68588331703513","3.83571434593551","3.64223245430046","3.43815141220892","3.53995921883975","3.61928035773818","3.47149448525499","3.55809941158059","3.67414170770385","3.83019839147142","3.87027000740855","3.87692639244616","4.03058881541224","3.8549919479614","3.58735031650151","3.3096836879838","3.5460883239776","4.09408291682224","4.16812854757591","4.46518602068451","4.41424641662401","4.7182244282458","4.44538780283611","4.60680413645499","4.64410645374173","4.62525961600278","4.58977417091963","4.5882296019405","4.6640107478523","4.61908548237078","","","",
"Armenia","ARM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6924695677987","0.759981243540201","0.824153606318789","1.05997548291326","0.809044886704558","1.03230198695281","1.08169108051084","0.975802049969214","1.12891750073544","1.16115550366196","1.00317470990231","1.13609087282285","1.2147078034605","1.45879556658591","1.48003503355128","1.72432720524801","1.90941107119298","1.50966901331398","1.46306891936556","1.70950183866857","1.97447948827919","1.89704008580942","1.89871937365811","1.64200409290141","1.75597603116466","","","",
"American Samoa","ASM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
